first_tx,cohort_day,active_users
2025-03-03 08:04:50.974356,0,2
2025-03-03 08:04:50.974356,33,1
2025-03-03 08:04:50.974356,68,1
2025-03-03 08:04:50.974356,98,1
2025-03-04 08:04:50.974356,0,1
2025-03-04 08:04:50.974356,5,1
2025-03-04 08:04:50.974356,31,1
2025-03-04 08:04:50.974356,37,1
2025-03-04 08:04:50.974356,41,1
2025-03-04 08:04:50.974356,78,1
2025-03-04 08:04:50.974356,111,1
2025-03-05 08:04:50.974356,0,2
2025-03-05 08:04:50.974356,24,1
2025-03-05 08:04:50.974356,29,1
2025-03-05 08:04:50.974356,64,1
2025-03-05 08:04:50.974356,68,1
2025-03-05 08:04:50.974356,108,1
2025-03-06 08:04:50.974356,0,2
2025-03-06 08:04:50.974356,1,1
2025-03-06 08:04:50.974356,41,1
2025-03-06 08:04:50.974356,47,1
2025-03-06 08:04:50.974356,66,1
2025-03-06 08:04:50.974356,88,1
2025-03-07 08:04:50.974356,0,1
2025-03-07 08:04:50.974356,31,1
2025-03-07 08:04:50.974356,78,1
2025-03-07 08:04:50.974356,113,1
2025-03-08 08:04:50.974356,0,3
2025-03-08 08:04:50.974356,33,1
2025-03-08 08:04:50.974356,34,1
2025-03-08 08:04:50.974356,53,1
2025-03-08 08:04:50.974356,82,1
2025-03-09 08:04:50.974356,0,2
2025-03-09 08:04:50.974356,26,1
2025-03-09 08:04:50.974356,52,1
2025-03-10 08:04:50.974356,0,2
2025-03-10 08:04:50.974356,5,1
2025-03-10 08:04:50.974356,9,1
2025-03-10 08:04:50.974356,15,1
2025-03-10 08:04:50.974356,17,1
2025-03-10 08:04:50.974356,29,1
2025-03-10 08:04:50.974356,58,1
2025-03-10 08:04:50.974356,66,1
2025-03-10 08:04:50.974356,71,1
2025-03-10 08:04:50.974356,95,1
2025-03-10 08:04:50.974356,115,1
2025-03-11 08:04:50.974356,0,8
2025-03-11 08:04:50.974356,6,1
2025-03-11 08:04:50.974356,8,1
2025-03-11 08:04:50.974356,10,1
2025-03-11 08:04:50.974356,13,1
2025-03-11 08:04:50.974356,44,1
2025-03-11 08:04:50.974356,48,1
