transaction_id,user_id,transaction_date,amount,transaction_type,used_instant_transfer
2000001,100000.0,2025-08-30 08:04:50.974356,7.46,transfer,False
2000002,100001.0,2025-03-03 08:04:50.974356,43.31,transfer,False
2000003,100004.0,2025-08-21 08:04:50.974356,21.7,transfer,False
2000004,100004.0,2025-08-08 08:04:50.974356,n/a,transfer,True
2000005,100004.0,2025-09-08 08:04:50.974356,6.15,transfer,False
2000006,100004.0,2025-06-30 08:04:50.974356,76.54,spend,False
2000007,100004.0,2025-09-02 08:04:50.974356,16.74,transfer,False
2000008,,2025-09-02 08:04:50.974356,35.6,spend,False
2000009,100004.0,2025-07-02 08:04:50.974356,5.71,spend,False
2000010,100004.0,2025-07-21 08:04:50.974356,47.71,transfer,True
2000011,100005.0,2025-07-27 08:04:50.974356,17.79,transfer,False
2000012,100005.0,2025-07-14 08:04:50.974356,46.9,hold,False
2000013,100005.0,2025-10-03 08:04:50.974356,76.48,transfer,False
2000014,100006.0,2025-10-06 08:04:50.974356,9.77,hold,False
2000015,100006.0,2025-10-05 08:04:50.974356,33.67,transfer,False
2000016,100006.0,2025-09-08 08:04:50.974356,8.34,transfer,False
2000017,100007.0,2025-08-14 08:04:50.974356,7.04,transfer,False
2000018,100007.0,2025-09-13 08:04:50.974356,24.66,hold,False
2000019,100008.0,2025-08-11 08:04:50.974356,11.77,spend,False
2000020,100008.0,2025-08-11 08:04:50.974356,47.73,transfer,False
2000021,100008.0,2025-07-14 08:04:50.974356,34.71,transfer,False
2000022,100009.0,2025-09-10 08:04:50.974356,40.8,transfer,False
2000023,100009.0,2025-07-15 08:04:50.974356,12.92,hold,False
2000024,100010.0,2025-09-01 08:04:50.974356,19.94,hold,False
2000025,100010.0,2025-08-28 08:04:50.974356,35.25,spend,False
2000026,100010.0,2025-07-21 08:04:50.974356,13.17,transfer,False
2000027,100010.0,2025-08-03 08:04:50.974356,117.53,transfer,False
2000028,100010.0,2025-07-15 08:04:50.974356,12.48,transfer,False
2000029,100010.0,2025-09-04 08:04:50.974356,39.68,hold,False
2000030,100011.0,2025-06-09 08:04:50.974356,53.47,spend,False
2000031,100011.0,2025-08-08 08:04:50.974356,34.77,hold,False
2000032,100011.0,2025-05-12 08:04:50.974356,3.59,transfer,False
2000033,100011.0,2025-07-09 08:04:50.974356,75.39,spend,False
2000034,100012.0,2025-07-31 08:04:50.974356,33.06,spend,False
2000035,100012.0,2025-07-02 08:04:50.974356,10.33,spend,False
2000036,100012.0,2025-06-21 08:04:50.974356,82.24,hold,False
2000037,100013.0,2025-08-06 08:04:50.974356,13.73,transfer,False
2000038,100013.0,2025-07-09 08:04:50.974356,51.36,transfer,False
2000039,100013.0,2025-09-09 08:04:50.974356,31.45,spend,False
2000040,100013.0,2025-08-26 08:04:50.974356,16.4,hold,False
2000041,100014.0,2025-07-13 08:04:50.974356,33.53,spend,False
2000042,100014.0,2025-04-19 08:04:50.974356,15.34,transfer,False
2000043,100015.0,2025-05-29 08:04:50.974356,10.14,transfer,False
2000044,100015.0,2025-04-27 08:04:50.974356,56.14,transfer,False
2000045,100015.0,2025-05-27 08:04:50.974356,13.17,transfer,False
2000046,100015.0,2025-06-26 08:04:50.974356,21.56,transfer,True
2000047,100015.0,2025-07-21 08:04:50.974356,42.78,spend,False
2000048,100017.0,2025-10-31 08:04:50.974356,22.41,transfer,False
2000049,100017.0,2025-07-07 08:04:50.974356,22.98,spend,False
2000050,100017.0,2025-09-08 08:04:50.974356,42.88,spend,False
2000051,100018.0,2025-11-21 08:04:50.974356,13.59,transfer,False
2000052,100018.0,2025-09-13 08:04:50.974356,39.02,transfer,False
2000053,100018.0,2025-09-10 08:04:50.974356,64.52,hold,False
2000054,100018.0,2025-10-11 08:04:50.974356,13.82,spend,False
2000055,100019.0,2025-08-26 08:04:50.974356,64.82,spend,False
2000056,100019.0,2025-06-30 08:04:50.974356,107.8,spend,False
2000057,100019.0,2025-08-14 08:04:50.974356,27.81,spend,False
2000058,100019.0,2025-06-29 08:04:50.974356,8.25,hold,False
2000059,100019.0,2025-09-03 08:04:50.974356,31.85,spend,False
2000060,100020.0,2025-04-24 08:04:50.974356,6.01,hold,False
2000061,100020.0,2025-06-08 08:04:50.974356,6.89,hold,False
2000062,100020.0,2025-07-16 08:04:50.974356,58.52,transfer,True
2000063,100020.0,2025-06-24 08:04:50.974356,53.36,hold,False
2000064,100021.0,2025-11-09 08:04:50.974356,22.36,hold,False
2000065,100021.0,2025-08-12 08:04:50.974356,24.81,transfer,False
2000066,100023.0,2025-10-20 08:04:50.974356,19.45,spend,False
2000067,100023.0,2025-09-26 08:04:50.974356,74.97,hold,False
2000068,100023.0,2025-10-17 08:04:50.974356,153.44,transfer,False
2000069,100024.0,2025-05-02 08:04:50.974356,30.2,transfer,False
2000070,100024.0,2025-04-29 08:04:50.974356,11.23,transfer,True
2000071,100024.0,2025-05-19 08:04:50.974356,46.19,hold,False
2000072,100024.0,2025-03-28 08:04:50.974356,7.3,spend,False
2000073,100024.0,2025-06-19 08:04:50.974356,175.35,transfer,False
2000074,100025.0,2025-08-17 08:04:50.974356,38.33,hold,False
2000075,100025.0,2025-10-27 08:04:50.974356,20.43,spend,False
2000076,100026.0,2025-08-10 08:04:50.974356,26.94,transfer,True
2000077,100026.0,2025-10-27 08:04:50.974356,58.79,transfer,False
2000078,100026.0,2025-10-14 08:04:50.974356,35.23,hold,False
2000079,100026.0,2025-08-30 08:04:50.974356,6.66,transfer,False
2000080,100026.0,2025-09-20 08:04:50.974356,41.13,spend,False
2000081,100028.0,2025-07-12 08:04:50.974356,9.14,transfer,False
2000082,100028.0,2025-09-16 08:04:50.974356,31.65,spend,False
2000083,100028.0,2025-09-24 08:04:50.974356,9.03,spend,False
2000084,100029.0,2025-10-10 08:04:50.974356,5.91,hold,False
2000085,100029.0,2025-08-28 08:04:50.974356,2.11,transfer,False
2000086,100029.0,2025-07-01 08:04:50.974356,7.05,spend,False
2000087,100030.0,2025-06-24 08:04:50.974356,49.82,spend,False
2000088,100030.0,2025-03-21 08:04:50.974356,23.23,transfer,False
2000089,100030.0,2025-04-04 08:04:50.974356,9.13,spend,False
2000090,100030.0,2025-07-06 08:04:50.974356,16.45,spend,False
2000091,100031.0,2025-10-13 08:04:50.974356,18.46,transfer,False
2000092,100031.0,2025-08-25 08:04:50.974356,54.1,hold,False
2000093,100032.0,2025-04-10 08:04:50.974356,25.96,transfer,False
2000094,100032.0,2025-05-27 08:04:50.974356,10.26,transfer,False
2000095,100032.0,2025-06-25 08:04:50.974356,80.03,spend,False
2000096,100032.0,2025-07-02 08:04:50.974356,9.13,hold,False
2000097,100032.0,2025-05-24 08:04:50.974356,20.75,transfer,False
2000098,100033.0,2025-10-29 08:04:50.974356,16.27,spend,False
2000099,100033.0,2025-10-22 08:04:50.974356,10.56,transfer,False
2000100,100033.0,2025-10-08 08:04:50.974356,51.18,transfer,False
2000101,100034.0,2025-06-18 08:04:50.974356,14.76,transfer,False
2000102,100035.0,2025-10-24 08:04:50.974356,24.22,transfer,False
2000103,100035.0,2025-10-27 08:04:50.974356,17.78,spend,False
2000104,100035.0,2025-10-13 08:04:50.974356,89.25,transfer,False
2000105,100035.0,2025-08-24 08:04:50.974356,5.14,spend,False
2000106,100035.0,2025-09-28 08:04:50.974356,9.82,spend,False
2000107,100037.0,2025-06-04 08:04:50.974356,31.94,spend,False
2000108,100037.0,2025-05-03 08:04:50.974356,46.44,hold,False
2000109,100037.0,2025-04-19 08:04:50.974356,59.95,transfer,False
2000110,100038.0,2025-10-10 08:04:50.974356,31.29,hold,False
2000111,100038.0,2025-07-27 08:04:50.974356,8.04,transfer,True
2000112,100039.0,2025-07-23 08:04:50.974356,8.12,spend,False
2000113,100039.0,2025-08-01 08:04:50.974356,9.15,transfer,False
2000114,100040.0,2025-11-26 08:04:50.974356,17.96,transfer,False
2000115,100041.0,2025-07-15 08:04:50.974356,7.53,hold,False
2000116,100041.0,2025-07-11 08:04:50.974356,56.86,transfer,True
2000117,100042.0,2025-05-14 08:04:50.974356,15.03,hold,False
2000118,100042.0,2025-05-20 08:04:50.974356,36.36,spend,False
2000119,100042.0,2025-04-26 08:04:50.974356,18.87,spend,False
2000120,100042.0,2025-06-12 08:04:50.974356,13.94,hold,False
2000121,100043.0,2025-09-21 08:04:50.974356,16.59,transfer,True
2000122,100044.0,2025-05-19 08:04:50.974356,34.35,transfer,False
2000123,100044.0,2025-06-19 08:04:50.974356,13.48,transfer,False
2000124,100044.0,2025-05-17 08:04:50.974356,39.17,transfer,False
2000125,100044.0,2025-04-19 08:04:50.974356,30.8,transfer,False
2000126,100045.0,2025-06-10 08:04:50.974356,21.23,hold,False
2000127,100045.0,2025-06-25 08:04:50.974356,17.0,hold,False
2000128,100045.0,2025-06-19 08:04:50.974356,10.01,transfer,False
2000129,100047.0,2025-12-10 08:04:50.974356,42.79,transfer,False
2000130,100047.0,2025-11-27 08:04:50.974356,12.21,transfer,False
2000131,100047.0,2025-09-02 08:04:50.974356,7.98,spend,False
2000132,100047.0,2025-09-16 08:04:50.974356,122.32,spend,False
2000133,100048.0,2025-11-08 08:04:50.974356,54.27,spend,False
2000134,100048.0,2025-09-08 08:04:50.974356,13.3,hold,False
2000135,100048.0,2025-11-08 08:04:50.974356,38.37,transfer,True
2000136,100049.0,2025-07-01 08:04:50.974356,12.44,hold,False
2000137,100049.0,2025-07-15 08:04:50.974356,16.88,spend,False
2000138,100049.0,2025-09-24 08:04:50.974356,4.96,hold,False
2000139,100050.0,2025-09-13 08:04:50.974356,29.86,transfer,False
2000140,100050.0,2025-09-11 08:04:50.974356,8.33,transfer,False
2000141,100050.0,2025-07-26 08:04:50.974356,3.81,transfer,False
2000142,100050.0,2025-10-11 08:04:50.974356,16.64,hold,False
2000143,100051.0,2025-06-21 08:04:50.974356,13.33,transfer,False
2000144,100052.0,2025-06-13 08:04:50.974356,34.69,spend,False
2000145,100052.0,2025-08-16 08:04:50.974356,49.16,spend,False
2000146,100052.0,2025-09-07 08:04:50.974356,55.68,spend,False
2000147,100053.0,2025-09-20 08:04:50.974356,26.74,transfer,False
2000148,100053.0,2025-07-18 08:04:50.974356,21.15,transfer,False
2000149,100054.0,2025-08-06 08:04:50.974356,7.29,transfer,False
2000150,100055.0,2025-03-27 08:04:50.974356,28.53,spend,False
2000151,100055.0,2025-05-20 08:04:50.974356,11.77,transfer,False
2000152,100055.0,2025-07-03 08:04:50.974356,13.2,transfer,False
2000153,100055.0,2025-05-15 08:04:50.974356,14.99,spend,False
2000154,100055.0,2025-03-10 08:04:50.974356,30.07,transfer,False
2000155,100056.0,2025-08-28 08:04:50.974356,10.36,spend,False
2000156,100056.0,2025-12-03 08:04:50.974356,75.08,transfer,True
2000157,100057.0,2025-04-30 08:04:50.974356,12.51,transfer,False
2000158,100057.0,2025-03-09 08:04:50.974356,54.23,hold,False
2000159,100058.0,2025-09-04 08:04:50.974356,36.15,transfer,False
2000160,100058.0,2025-11-13 08:04:50.974356,85.72,transfer,False
2000161,100058.0,2025-11-03 08:04:50.974356,68.47,hold,False
2000162,100058.0,2025-08-11 08:04:50.974356,52.99,transfer,False
2000163,100059.0,2025-08-31 08:04:50.974356,11.74,spend,False
2000164,100059.0,2025-10-05 08:04:50.974356,7.93,transfer,False
2000165,100060.0,2025-05-17 08:04:50.974356,11.7,spend,False
2000166,100060.0,2025-06-01 08:04:50.974356,7.58,transfer,False
2000167,100060.0,2025-03-27 08:04:50.974356,62.01,transfer,False
2000168,100060.0,2025-06-13 08:04:50.974356,13.6,transfer,False
2000169,100061.0,2025-07-20 08:04:50.974356,22.28,transfer,False
2000170,100061.0,2025-07-20 08:04:50.974356,2.99,spend,False
2000171,100062.0,2025-05-30 08:04:50.974356,34.97,transfer,False
2000172,100062.0,2025-08-09 08:04:50.974356,3.97,transfer,True
2000173,100062.0,2025-08-11 08:04:50.974356,61.92,transfer,True
2000174,100063.0,2025-07-07 08:04:50.974356,16.74,transfer,False
2000175,100063.0,2025-06-22 08:04:50.974356,4.97,transfer,False
2000176,100063.0,2025-07-27 08:04:50.974356,9.61,hold,False
2000177,100063.0,2025-05-22 08:04:50.974356,7.28,spend,False
2000178,100064.0,2025-09-25 08:04:50.974356,83.87,transfer,False
2000179,100064.0,2025-09-25 08:04:50.974356,7.55,transfer,False
