user_id,signup_date,age,region,signup_channel
100000,2025-05-17 08:04:50.974356,18.0,Other,ads
100001,2025-03-01 08:04:50.974356,31.0,Istanbul,organic
100002,2025-05-27 08:04:50.974356,67.0,Istanbul,organic
100003,2025-08-13 08:04:50.974356,43.0,Istanbul,ads
100004,2025-05-13 08:04:50.974356,28.0,Istanbul,organic
100005,2025-06-17 08:04:50.974356,,Ankara,organic
100006,2025-08-07 08:04:50.974356,32.0,Izmir,organic
100007,2025-05-17 08:04:50.974356,41.0,Izmir,organic
100008,2025-04-28 08:04:50.974356,23.0,Istanbul,partner
100009,2025-06-14 08:04:50.974356,23.0,Ankara,organic
100010,2025-06-01 08:04:50.974356,23.0,,organic
100011,2025-05-03 08:04:50.974356,65.0,Other,ads
100012,2025-05-20 08:04:50.974356,52.0,Istanbul,ads
100013,2025-05-16 08:04:50.974356,24.0,Istanbul,organic
100014,2025-03-29 08:04:50.974356,25.0,Ankara,organic
100015,2025-04-19 08:04:50.974356,52.0,Ankara,partner
100016,2025-03-31 08:04:50.974356,24.0,Ankara,ads
100017,2025-07-06 08:04:50.974356,27.0,Istanbul,organic
100018,2025-08-26 08:04:50.974356,67.0,Ankara,organic
100019,2025-06-01 08:04:50.974356,28.0,Other,organic
100020,2025-03-23 08:04:50.974356,48.0,Ankara,organic
100021,2025-07-21 08:04:50.974356,68.0,Other,organic
100022,2025-04-20 08:04:50.974356,33.0,Ankara,ads
100023,2025-08-07 08:04:50.974356,18.0,Other,organic
100024,2025-03-20 08:04:50.974356,27.0,Other,ads
100025,2025-07-01 08:04:50.974356,58.0,Istanbul,organic
100026,2025-08-06 08:04:50.974356,60.0,Other,ads
100027,2025-05-31 08:04:50.974356,54.0,Istanbul,ads
100028,2025-07-10 08:04:50.974356,22.0,Other,organic
100029,2025-06-30 08:04:50.974356,55.0,Ankara,organic
100030,2025-03-11 08:04:50.974356,63.0,Istanbul,organic
100031,2025-08-13 08:04:50.974356,44.0,Ankara,ads
100032,2025-03-06 08:04:50.974356,65.0,Other,ads
100033,2025-07-08 08:04:50.974356,57.0,Istanbul,organic
100034,2025-05-12 08:04:50.974356,48.0,Ankara,organic
100035,2025-07-04 08:04:50.974356,43.0,Izmir,organic
100036,2025-06-25 08:04:50.974356,32.0,Other,ads
100037,2025-04-19 08:04:50.974356,24.0,Istanbul,organic
100038,2025-07-08 08:04:50.974356,45.0,Istanbul,organic
100039,2025-04-15 08:04:50.974356,31.0,Istanbul,organic
100040,2025-08-07 08:04:50.974356,60.0,Ankara,organic
100041,2025-06-16 08:04:50.974356,69.0,Ankara,ads
100042,2025-03-14 08:04:50.974356,53.0,Other,organic
100043,2025-08-10 08:04:50.974356,21.0,Istanbul,ads
100044,2025-04-18 08:04:50.974356,29.0,Izmir,organic
100045,2025-05-31 08:04:50.974356,22.0,Istanbul,organic
100046,2025-06-29 08:04:50.974356,47.0,Istanbul,ads
100047,2025-08-14 08:04:50.974356,54.0,Ankara,partner
100048,2025-08-19 08:04:50.974356,64.0,Ankara,ads
100049,2025-05-30 08:04:50.974356,36.0,Izmir,organic
100050,2025-07-06 08:04:50.974356,62.0,Other,organic
100051,2025-04-20 08:04:50.974356,61.0,Ankara,ads
100052,2025-06-05 08:04:50.974356,31.0,Other,organic
100053,2025-05-28 08:04:50.974356,60.0,Other,organic
100054,2025-05-09 08:04:50.974356,33.0,Ankara,ads
100055,2025-03-09 08:04:50.974356,30.0,Other,ads
100056,2025-08-20 08:04:50.974356,47.0,Ankara,partner
100057,2025-03-06 08:04:50.974356,31.0,Istanbul,partner
100058,2025-07-24 08:04:50.974356,46.0,Izmir,ads
100059,2025-06-08 08:04:50.974356,45.0,Istanbul,organic
100060,2025-03-17 08:04:50.974356,42.0,Ankara,organic
100061,2025-07-09 08:04:50.974356,34.0,Izmir,organic
100062,2025-05-16 08:04:50.974356,42.0,Istanbul,organic
100063,2025-04-18 08:04:50.974356,44.0,Istanbul,organic
100064,2025-08-26 08:04:50.974356,41.0,Other,organic
100065,2025-04-16 08:04:50.974356,37.0,Ankara,organic
100066,2025-07-05 08:04:50.974356,18.0,Istanbul,organic
100067,2025-05-14 08:04:50.974356,44.0,Izmir,organic
100068,2025-08-24 08:04:50.974356,24.0,Ankara,organic
100069,2025-07-05 08:04:50.974356,47.0,Ankara,organic
100070,2025-04-04 08:04:50.974356,53.0,Other,ads
100071,2025-07-15 08:04:50.974356,39.0,Izmir,organic
100072,2025-03-19 08:04:50.974356,41.0,Istanbul,organic
100073,2025-08-14 08:04:50.974356,66.0,Other,ads
100074,2025-05-25 08:04:50.974356,59.0,Other,organic
100075,2025-07-11 08:04:50.974356,63.0,Istanbul,organic
100076,2025-08-13 08:04:50.974356,57.0,Istanbul,organic
100077,2025-07-19 08:04:50.974356,22.0,Istanbul,organic
100078,2025-06-07 08:04:50.974356,23.0,Izmir,partner
100079,2025-05-09 08:04:50.974356,41.0,Ankara,organic
100080,2025-07-06 08:04:50.974356,28.0,Ankara,ads
100081,2025-08-04 08:04:50.974356,38.0,Other,organic
100082,2025-03-27 08:04:50.974356,34.0,Izmir,organic
100083,2025-04-26 08:04:50.974356,42.0,Istanbul,organic
100084,2025-07-18 08:04:50.974356,52.0,Istanbul,organic
100085,2025-03-24 08:04:50.974356,51.0,Istanbul,organic
100086,2025-08-13 08:04:50.974356,40.0,Istanbul,organic
100087,2025-07-14 08:04:50.974356,57.0,Izmir,organic
100088,2025-06-24 08:04:50.974356,36.0,Other,ads
100089,2025-05-31 08:04:50.974356,62.0,Istanbul,organic
100090,2025-06-18 08:04:50.974356,20.0,Ankara,ads
100091,2025-08-19 08:04:50.974356,66.0,Izmir,ads
100092,2025-06-01 08:04:50.974356,47.0,Istanbul,organic
100093,2025-04-21 08:04:50.974356,33.0,Istanbul,organic
100094,2025-04-14 08:04:50.974356,25.0,Ankara,organic
100095,2025-06-26 08:04:50.974356,38.0,Istanbul,ads
100096,2025-04-11 08:04:50.974356,25.0,Other,organic
